date,price(USD)
8/10/2015,0.713989
8/11/2015,0.708087
8/12/2015,1.06
8/13/2015,1.22
8/14/2015,1.81
8/15/2015,1.8
8/16/2015,1.68
8/17/2015,1.58
8/18/2015,1.22
8/19/2015,1.17
8/20/2015,1.25
8/21/2015,1.48
8/22/2015,1.4
8/23/2015,1.38
8/24/2015,1.35
8/25/2015,1.23
8/26/2015,1.13
8/27/2015,1.17
8/28/2015,1.15
8/29/2015,1.19
8/30/2015,1.18
8/31/2015,1.32
9/1/2015,1.35
9/2/2015,1.35
9/3/2015,1.3
9/4/2015,1.26
9/5/2015,1.28
9/6/2015,1.34
9/7/2015,1.3
9/8/2015,1.25
9/9/2015,1.24
9/10/2015,1.21
9/11/2015,1.16
9/12/2015,0.987228
9/13/2015,1.04
9/14/2015,0.940566
9/15/2015,0.875189
9/16/2015,0.941977
9/17/2015,0.906865
9/18/2015,0.874574
9/19/2015,0.849603
9/20/2015,0.881191
9/21/2015,0.941496
9/22/2015,0.919337
9/23/2015,0.90356
9/24/2015,0.896796
9/25/2015,0.820031
9/26/2015,0.73763
9/27/2015,0.791277
9/28/2015,0.723715
9/29/2015,0.579414
9/30/2015,0.661192
10/1/2015,0.734307
10/2/2015,0.683732
10/3/2015,0.678783
10/4/2015,0.686343
10/5/2015,0.666784
10/6/2015,0.622218
10/7/2015,0.650515
10/8/2015,0.609501
10/9/2015,0.655084
10/10/2015,0.641187
10/11/2015,0.627461
10/12/2015,0.634515
10/13/2015,0.627943
10/14/2015,0.61224
10/15/2015,0.523278
10/16/2015,0.562593
10/17/2015,0.534117
10/18/2015,0.547913
10/19/2015,0.517621
10/20/2015,0.489629
10/21/2015,0.431589
10/22/2015,0.444988
10/23/2015,0.56637
10/24/2015,0.539681
10/25/2015,0.563207
10/26/2015,0.619743
10/27/2015,0.70889
10/28/2015,0.870938
10/29/2015,1.01
10/30/2015,1.21
10/31/2015,1.05
11/1/2015,0.920847
11/2/2015,1.06
11/3/2015,0.994568
11/4/2015,1.01
11/5/2015,0.900699
11/6/2015,0.904772
11/7/2015,0.923732
11/8/2015,0.915661
11/9/2015,1.03
11/10/2015,1
11/11/2015,0.941296
11/12/2015,0.796455
11/13/2015,0.907722
11/14/2015,0.905469
11/15/2015,0.891217
11/16/2015,0.906166
11/17/2015,0.924948
11/18/2015,0.993214
11/19/2015,0.988713
11/20/2015,0.955735
11/21/2015,0.928758
11/22/2015,0.979765
11/23/2015,0.967493
11/24/2015,0.946442
11/25/2015,0.893827
11/26/2015,0.863273
11/27/2015,0.8821
11/28/2015,0.868102
11/29/2015,0.914144
11/30/2015,0.879951
12/1/2015,0.878316
12/2/2015,0.873171
12/3/2015,0.818546
12/4/2015,0.812082
12/5/2015,0.841195
12/6/2015,0.866417
12/7/2015,0.836322
12/8/2015,0.806024
12/9/2015,0.824454
12/10/2015,0.79559
12/11/2015,0.839995
12/12/2015,0.931196
12/13/2015,0.971538
12/14/2015,0.95662
12/15/2015,0.990589
12/16/2015,1.02
12/17/2015,0.993043
12/18/2015,0.938327
12/19/2015,0.921524
12/20/2015,0.90824
12/21/2015,0.906065
12/22/2015,0.894973
12/23/2015,0.861782
12/24/2015,0.859433
12/25/2015,0.861993
12/26/2015,0.870766
12/27/2015,0.853166
12/28/2015,0.856356
12/29/2015,0.843835
12/30/2015,0.874258
12/31/2015,0.912098
1/1/2016,0.933712
1/2/2016,0.947401
1/3/2016,0.93843
1/4/2016,0.972045
1/5/2016,0.953147
1/6/2016,0.950028
1/7/2016,0.955801
1/8/2016,0.942752
1/9/2016,0.985501
1/10/2016,0.985557
1/11/2016,0.999216
1/12/2016,1.07
1/13/2016,1.14
1/14/2016,1.12
1/15/2016,1.18
1/16/2016,1.22
1/17/2016,1.22
1/18/2016,1.33
1/19/2016,1.42
1/20/2016,1.36
1/21/2016,1.53
1/22/2016,1.55
1/23/2016,1.5
1/24/2016,1.9
1/25/2016,2.15
1/26/2016,2.53
1/27/2016,2.25
1/28/2016,2.41
1/29/2016,2.54
1/30/2016,2.51
1/31/2016,2.44
2/1/2016,2.32
2/2/2016,2.22
2/3/2016,2.43
2/4/2016,2.53
2/5/2016,2.57
2/6/2016,2.53
2/7/2016,2.54
2/8/2016,2.97
2/9/2016,3.17
2/10/2016,4
2/11/2016,4.5
2/12/2016,5.95
2/13/2016,5.69
2/14/2016,5.4
2/15/2016,5.33
2/16/2016,5.33
2/17/2016,4.29
2/18/2016,3.77
2/19/2016,4.38
